"k","mean_diff","mean_log_or","2.5%_diff","2.5%_log_or","97.5%_diff","97.5%_log_or"
0,0,0,0,0,0,0
0.02,0.0128677997117508,0.0537029585250274,0.0119240881693717,0.0484947121631192,0.0137592320832444,0.0631208454479889
0.04,0.0257277286928725,0.107713298167548,0.0238323586381696,0.0967932378162671,0.0275201009232932,0.128182244529561
0.06,0.0385891757145698,0.162049720564436,0.0357688157727316,0.145602445873738,0.0412204586285187,0.193227570587194
0.08,0.0514791753588769,0.217053352968009,0.0477022456946606,0.194097066862013,0.0551453594138391,0.261971947318817
0.1,0.0643499763622224,0.272232312778827,0.0596877702859265,0.243512970616617,0.0687967083824338,0.33080936389066
0.12,0.0771769210631256,0.32805379867388,0.0713842585353128,0.292477128590956,0.0826376150912056,0.401607276310585
0.14,0.0900631686891415,0.384256772232128,0.0834608242537541,0.341902442422635,0.0962997096949691,0.477562172058016
0.16,0.102998629158439,0.442594250436378,0.0955343992638669,0.391702504015904,0.11019415964743,0.553723022177409
0.18,0.115832397649022,0.500359301129635,0.107473005533146,0.44197245781371,0.123909766454282,0.630600200056141
0.2,0.12867020356146,0.558869868396719,0.119478318440509,0.491120784145425,0.137614976072668,0.707644013575211
0.22,0.141523821401252,0.619615011046849,0.131150125498182,0.540889460903148,0.151539369715202,0.800822573436506
0.24,0.154543240692446,0.681013677046469,0.143430346551548,0.593458062771827,0.165276141822226,0.88096449395512
0.26,0.167383972934232,0.742604637750379,0.155209356165989,0.643054787619542,0.179192611752025,0.973884539840428
0.28,0.180215147831446,0.80479475018951,0.16696971455128,0.691842196126768,0.192949668684887,1.06519181044029
0.3,0.192996941421818,0.866863609836567,0.178870326640758,0.744420342349587,0.206292102935864,1.14270293600802
0.32,0.205910432345603,0.937065626430868,0.190707291545264,0.798420796217654,0.220116475663728,1.28254579042513
0.34,0.218782433725608,1.00356329259401,0.20313486266611,0.848754833364137,0.23420742045782,1.37917127084539
0.36,0.231682722670408,1.07193009915053,0.214707152595274,0.902739629482772,0.248033681956917,1.46597753646606
0.38,0.244392034575574,1.14097285052589,0.226728155822314,0.955248254159517,0.261359293209571,1.58513837757952
0.4,0.257457007272424,1.2141596494964,0.238804447333921,1.01004644440284,0.27515994403621,1.72130002539055
0.42,0.270307610467425,1.29063053574188,0.250790763028652,1.06344416467473,0.289152508391607,1.85214993968217
0.44,0.282921723485776,1.3603562196952,0.262426184723119,1.11762832122039,0.302818535799065,1.93689173311083
0.46,0.295832556839697,1.4337524912697,0.274305508072137,1.17597437006367,0.315795153510394,2.04075130708863
0.48,0.308475107651767,1.50373368248586,0.286378560852279,1.22616911904929,0.329573633368837,2.13250991589829
0.5,0.321410081244501,1.57931509086248,0.298051957330118,1.28855081849874,0.343274139537356,2.20415421501604
0.52,0.33421119171562,1.65337919015941,0.309813488330573,1.3426146782353,0.357427218613506,2.29701685833874
0.54,0.346954863386264,1.72851591409064,0.321163950071107,1.3990213693933,0.371457846032311,2.35970484150101
0.56,0.359751227380866,1.79644850417013,0.333302507504089,1.45829818620673,0.384805709866786,2.42466993131413
0.58,0.372126970719486,1.87025231414328,0.345039105600512,1.51427726779905,0.398217962458289,2.48459100787289
0.6,0.384825255542013,1.93623799607893,0.357433754062264,1.57563051931288,0.411167038996184,2.52911842527258
0.62,0.397582449581085,2.00588907285296,0.368316878983996,1.63265446234363,0.42502743169865,2.58137014486904
0.64,0.410150912241839,2.07269505092412,0.380528455071732,1.69320500194825,0.438670433287375,2.63315192524318
0.66,0.422796039257843,2.138469104378,0.391811992936159,1.75408660153993,0.452609918262948,2.68521718296087
0.68,0.435655089973244,2.20847265010152,0.40360072045826,1.81750795535564,0.46628685945986,2.72687215427606
0.7,0.448117485588127,2.2672029341362,0.41562837189752,1.87919941256161,0.479189370917471,2.77684353141404
0.72,0.460556522533092,2.32916125328171,0.426893523807427,1.94047900587419,0.492723775883684,2.81814231698686
0.74,0.472800624785319,2.38427750071544,0.437913010304277,1.9955992594275,0.50576204910009,2.86470256331604
0.76,0.485572493595632,2.44978133303506,0.449941898817122,2.06803150345255,0.51951551476461,2.90848889748979
0.78,0.497500570696424,2.50821063391703,0.460775135313817,2.11772816814277,0.532497828753623,2.95813308912099
0.8,0.510045337588618,2.56281330135799,0.472784384655316,2.17816165844934,0.54586903493745,2.99213355142959
0.82,0.522137488922175,2.61949612804386,0.483946831300032,2.24547040077881,0.5594240366682,3.04077576264846
0.84,0.534597823892361,2.67812573708297,0.494686768086033,2.30622570533734,0.572022650873525,3.09072611469545
0.86,0.546035036367388,2.72885928982929,0.505699190225205,2.36313146439529,0.584632464842961,3.12269103093692
0.88,0.5583299511435,2.78924542517776,0.517380148153644,2.4225035672506,0.598351629921299,3.18644684244795
0.9,0.570171351491422,2.84798358606208,0.528225939803572,2.49686569362456,0.609536860688458,3.23264951070262
0.92,0.581852839741375,2.90772519366315,0.538988845813776,2.56728828287228,0.622261328161022,3.27238362864344
0.94,0.593796348385769,2.97552423813606,0.549213592083034,2.64200810309868,0.635629446975434,3.33853530092845
0.96,0.605972696499182,3.05262615515293,0.561932058287242,2.72313076691659,0.649148103979658,3.40884827982928
0.98,0.617436260942838,3.13610405649659,0.570743843212789,2.79923930448725,0.66134838515503,3.47740487281112
1,0.628873683304465,3.23774625187017,0.583680518595205,2.89839258416813,0.673365536525244,3.60244179769734
